yearsofexperience,yearsatcompany,region,salary_level
1.0,1.0,10,5
3.0,1.0,10,4
9.0,2.0,10,5
1.0,0.0,10,5
0.0,0.0,10,3
2.0,2.0,10,4
0.0,0.0,10,2
6.0,1.0,10,5
0.0,0.0,10,4
9.0,2.0,10,6
12.0,1.0,10,5
20.0,5.0,10,7
3.0,0.0,10,5
6.0,5.0,10,3
7.0,5.0,10,5
4.0,0.0,10,5
13.0,5.0,10,5
3.0,0.0,10,5
22.0,10.0,10,6
0.0,0.0,10,4
9.0,0.0,10,5
2.0,1.0,10,5
6.0,6.0,10,5
4.0,2.0,10,4
15.0,2.0,10,6
14.0,0.0,10,5
14.0,2.0,10,5
2.0,2.0,10,2
7.0,0.0,10,5
0.0,0.0,10,3
7.0,0.0,10,6
2.0,2.0,10,5
7.0,0.0,10,6
10.0,1.0,10,5
3.0,3.0,10,3
14.0,5.0,10,6
6.0,5.0,10,4
6.0,5.0,10,3
3.0,3.0,10,6
15.0,5.0,10,4
1.0,1.0,10,3
5.0,5.0,10,5
6.0,1.0,10,5
3.0,0.0,10,6
11.0,1.0,10,6
3.0,1.0,10,4
5.0,5.0,10,5
5.0,0.0,10,4
9.0,0.0,10,5
3.0,3.0,10,4
5.0,0.0,10,5
25.0,1.0,10,6
0.0,0.0,10,4
15.0,0.0,10,5
3.0,1.0,10,4
6.0,1.0,10,5
8.0,1.0,10,6
6.0,2.0,10,5
5.0,0.0,10,5
14.0,0.0,10,7
12.0,4.0,10,7
9.0,1.0,10,6
9.0,1.0,10,6
5.0,5.0,10,5
4.0,0.0,10,4
1.0,0.0,10,3
6.0,6.0,10,5
20.0,10.0,10,7
5.0,1.0,10,4
13.0,2.0,10,5
10.0,1.0,10,6
3.0,3.0,10,5
11.0,3.0,10,5
7.0,2.0,10,4
11.0,5.0,10,5
6.0,6.0,10,3
3.0,0.0,10,5
2.0,2.0,10,4
12.0,4.0,10,7
6.0,0.0,10,6
9.0,4.0,10,4
14.0,3.0,10,9
6.0,1.0,10,6
16.0,3.0,10,6
7.0,3.0,10,4
7.0,5.0,10,4
7.0,0.0,10,5
12.0,1.0,10,5
10.0,1.0,10,6
10.0,1.0,10,6
5.0,2.0,10,4
1.0,1.0,10,5
18.0,1.0,10,6
3.0,3.0,10,4
1.0,0.0,10,5
5.0,3.0,10,4
1.0,0.0,10,5
1.0,1.0,10,4
0.0,0.0,10,4
15.0,6.0,10,5
7.0,5.0,10,5
7.0,0.0,10,7
2.0,1.0,10,3
5.0,3.0,10,3
8.0,2.0,10,6
2.0,2.0,10,5
6.0,5.0,10,6
3.0,0.0,10,4
1.0,0.0,10,4
13.0,0.0,10,5
15.0,3.0,10,6
4.0,4.0,10,4
6.0,3.0,10,5
8.0,3.0,10,7
2.0,0.0,10,3
2.0,0.0,10,4
22.0,1.0,10,6
1.0,1.0,10,2
5.0,3.0,10,4
3.0,2.0,10,4
4.0,2.0,10,4
8.0,1.0,10,5
2.0,2.0,10,3
12.0,3.0,10,5
2.0,0.0,10,5
12.0,7.0,10,6
10.0,1.0,10,4
9.0,2.0,10,5
12.0,1.0,10,5
5.0,0.0,10,6
8.0,0.0,10,7
20.0,3.0,10,5
6.0,2.0,10,5
12.0,3.0,10,9
12.0,1.0,10,7
16.0,6.0,10,7
20.0,13.0,10,6
15.0,6.0,10,5
10.0,1.0,10,5
6.0,1.0,10,6
0.0,0.0,10,4
6.0,1.0,10,6
2.0,1.0,10,3
10.0,4.0,10,6
7.0,7.0,10,4
1.0,0.0,10,3
4.0,4.0,10,3
10.0,6.0,10,6
9.0,2.0,10,6
3.0,0.0,10,6
1.0,0.0,10,4
8.0,1.0,10,6
